<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saba.Tamin.Inv.,20200413,13407.00,13407.00,13407.00,13407.00,81332533161,6066423,4526,D,12769.00,13407.00
Saba.Tamin.Inv.,20200412,12769.00,12769.00,12769.00,12769.00,733320260677,57429733,5641,D,12161.00,12769.00
Saba.Tamin.Inv.,20200411,12600.00,12600.00,12600.00,12161.00,20227788000,1605380,2918,D,12000.00,12600.00
Saba.Tamin.Inv.,20200408,12000.00,12000.00,12000.00,12000.00,17999990268000,1499999189,1930838,D,1000.00,12000.00
